X,Y,Class,NEA
166802.232712405,-568454.021644286,"0",
241802.232712405,-568452.337300516,"0",
310998.484108372,-90846.7035103566,"1",
359216.119304856,-111498.407641681,"2",
253137.321872592,-68648.3959859376,"3",
303902.303834173,-71741.6027721272,"3",
320295.1625926,-119532.784827133,"3",
328613.841872371,-158897.252806526,"3",
335891.975486934,-125747.628608944,"3",
284888.179766125,-62496.0986648769,"4",
267420.659091173,-115438.834668941,"4",
302935.676713489,-132667.541584665,"4",
375739.75702667,-122017.58513148,"4",
345922.153374505,-156531.859381793,"4",
241429.76162854,-45165.0429951981,"5",
263002.604545457,-46791.2509747022,"5",E
262161.070346273,-90755.7268401751,"5",E
295441.473507242,-49929.9460959827,"5",
281630.077765231,-92342.1325264745,"5",
305465.965352926,-80788.0954133549,"5",
295265.206208765,-93604.4338252504,"5",
289238.001809204,-108081.096467968,"5",
310230.868453711,-100950.79994245,"5",
323627.183138017,-102281.333743863,"5",
297369.041706724,-121312.515937569,"5",
289414.269107682,-136744.433617199,"5",
302839.01400142,-151329.131055757,"5",
322609.381640355,-147348.901735293,"5",
355375.198010607,-160819.134964122,"5",
350709.800642834,-173319.898051323,"5",
336179.120602196,-138765.821507806,"5",
355375.198010607,-137975.4616856,"5",
334035.482811031,-114594.457448815,"5",
340682.465776207,-105428.557927974,"5",
367458.037019159,-94119.0206159684,"5",
260594.565806577,-62891.2785759822,"6",
275469.251381341,-54498.6807516887,"6",N
263687.772592766,-78323.1962556113,"6",
253862.292213106,-102835.722827785,"6",
279995.340722898,-42643.2834185911,"6",
276071.971821297,-66717.9847655143,"6",
274559.484679521,-99105.6793503217,"6",N
254442.268485516,-117954.908203664,"6",
313969.440994004,-110585.797918918,"6",
314276.487255869,-137418.229580735,"6",
326609.512107422,-111995.93630674,"6",N
331215.206035388,-97650.052627409,"6",E
345327.961997377,-93118.2772439659,"6",
352173.956428576,-115612.258946476,"6",
345828.333683378,-123083.717985176,"6",
365973.980086815,-138066.438355782,"6",
331209.519993501,-147050.384536258,"6",
330004.079113589,-172478.363852139,"6",
255300.860810359,-43678.1430419118,"7",N
270402.988060578,-41926.8421409074,"7",
251661.794003077,-48841.0690747427,"7",N
244929.520409606,-54299.6692856653,"7",
251525.328997804,-57347.3877367638,"7",
258030.16091582,-51797.8108556591,"7",E
270584.941400942,-49568.8824361991,"7",
265490.247870748,-54936.5059769396,"7",
246612.588807974,-61987.1979160479,"7",
256620.022527998,-62703.6391937315,"7",
267594.083368707,-66172.1247444219,"7",
263710.516760311,-70544.6909550464,"7",
245515.182723903,-73487.2176312468,"7",
253597.891265389,-76824.9242185505,"7",
261811.378770261,-85678.0914356406,"7",
255630.651239769,-92990.3413015223,"7",
270385.929934919,-91574.5168718142,"7",
262084.308780807,-102258.589576318,"7",
268242.292143754,-100967.85806811,"7",
295415.886318753,-41355.3949313264,"7",
293414.399574748,-45790.507602701,"7",
286909.567656732,-45881.484272883,"7",
280518.456576444,-50862.4569653499,"7",
295290.793397253,-56696.3359407734,"7",
281064.316597536,-61461.2390415579,"7",
291617.610338653,-62336.8894920601,"7",
287000.544326914,-68938.3841221446,"7",
283600.29127886,-75437.5299982742,"7",
275150.833035703,-75994.7621031393,"7",
270960.220165443,-78996.9922191467,"7",
274974.565737225,-86309.2420850284,"7",
282053.687885766,-83437.7909324076,"7",
287563.462473666,-87571.5433838042,"7",
275781.983685091,-91318.6449869271,"7",
280950.595759808,-99552.033638402,"7",
288137.75270419,-95395.5370194599,"7",
301494.265095291,-63638.9930840404,"7",
294716.503166729,-66777.6882053209,"7",
297377.570769553,-75625.1693805246,"7",
291100.180526992,-78900.3295070782,"7",
301028.009660608,-77365.0981977562,"7",
298514.779146829,-80810.8395809011,"7",
292464.830579723,-91045.714976381,"7",
296763.478245825,-86735.6952265067,"7",
301971.892613746,-89953.9949341965,"7",
305303.913159164,-95173.7813858912,"7",
299066.325209808,-98989.1154916506,"7",
253720.141165945,-110457.861976474,"7",
260031.647659825,-113875.173150187,"7",
265666.515169225,-106022.7493051,"7",
274053.426951632,-107074.66705408,"7",
275128.088868157,-116308.799077557,"7",
270619.05765226,-122853.433288778,"7",
269757.622306473,-127632.551494278,"7",
262692.715262649,-123262.828304597,"7",
283620.192425462,-120399.906214806,"7",
282693.367597983,-114605.829532587,"7",
281021.671283388,-110176.402903099,"7",
295532.450177424,-106918.300902204,"7",
306136.918295518,-99185.2839367306,"7",
302725.293163691,-106139.31316377,"7",
311299.844328349,-106036.964409816,"7",
307086.487290543,-113252.551563629,"7",
320300.848634485,-109727.205594075,"7",
317753.501869388,-103995.675372606,"7",
315297.131774472,-96899.4950984067,"7",
321256.103671396,-96649.3092554061,"7",
326328.053034045,-98798.6330884569,"7",
319675.384026983,-93044.3586994426,"7",
322609.381640354,-91224.8252958018,"7",
328568.353537278,-92282.429086668,"7",
289186.827432226,-121974.939817332,"7",
293712.916773782,-115834.014580044,"7",
299558.167832979,-112467.877783309,"7",
304470.908022809,-118449.593847778,"7",
316161.410141202,-114583.085365041,"7",
312124.320401874,-118426.849680233,"7",
312348.919056385,-123518.700189484,"7",
318785.518471765,-128909.06789777,"7",
322868.096546184,-130569.392128592,"7",
324312.351185324,-123132.04934121,"7",
324283.920975892,-138518.478685748,"7",
318302.204911423,-136812.666119835,"7",
321236.202524794,-143431.218875579,"7",
313616.906397048,-147525.169033771,"7",
319166.483278152,-153506.88509824,"7",
322418.89923716,-158032.974439796,"7",
313252.99971632,-157214.184408158,"7",
307475.98115976,-157509.85858625,"7",
300539.010058379,-160079.949518892,"7",
288473.229175486,-150527.399149778,"7",
294363.968569773,-145955.82147313,"7",
